n,lambda,method,regularized_objective,transport_cost,lp_cost,cost_minus_lp,marginal_violation,time_seconds,status
200,10.0,pot_sinkhorn_log,-96.77438464984532,8.858485717798176,5.902671708288557,2.955814009509619,1.268082860939046e-15,0.005151749937795103,finished
200,6.1054022965853285,pot_sinkhorn_log,-55.70995405003605,8.480993660388613,5.902671708288557,2.5783219521000555,6.034502758600624e-12,0.00591966591309756,finished
200,3.72759372031494,pot_sinkhorn_log,-30.811425380523907,7.985835194361039,5.902671708288557,2.0831634860724817,2.6150956400350367e-15,0.010788209037855268,finished
200,2.2758459260747887,pot_sinkhorn_log,-15.816080445981473,7.442498343640756,5.902671708288557,1.539826635352199,3.217555293380525e-10,0.011379958014003932,finished
200,1.3894954943731377,pot_sinkhorn_log,-6.864159290526317,6.9524780624603775,5.902671708288557,1.04980635417182,1.782598569623206e-09,0.01614741701632738,finished
200,0.8483428982440722,pot_sinkhorn_log,-1.566214054592356,6.577299007742724,5.902671708288557,0.6746272994541664,1.4882296688403795e-09,0.025223459000699222,finished
200,0.5179474679231213,pot_sinkhorn_log,1.547695019300737,6.320045677902851,5.902671708288557,0.4173739696142933,2.833393871089218e-09,0.03920183295849711,finished
200,0.31622776601683794,pot_sinkhorn_log,3.3690494636495525,6.154700492778479,5.902671708288557,0.25202878448992205,3.3145611177606837e-09,0.06307599996216595,finished
200,0.19306977288832505,pot_sinkhorn_log,4.430586037275578,6.051332527450538,5.902671708288557,0.14866081916198048,4.594692122432409e-09,0.10163329099304974,finished
200,0.11787686347935879,pot_sinkhorn_log,5.047409993061641,5.987857231977092,5.902671708288557,0.08518552368853438,6.448911587034201e-09,0.16471579193603247,finished
200,0.07196856730011521,pot_sinkhorn_log,5.405038324447512,5.949915177592525,5.902671708288557,0.047243469303968055,2.6880405592372147e-09,0.377441665972583,finished
200,0.043939705607607904,pot_sinkhorn_log,5.612209355849026,5.927887736496986,5.902671708288557,0.02521602820842883,1.9907190566131883e-09,3.328497707960196,finished
200,0.026826957952797274,pot_sinkhorn_log,5.732329262841343,5.91563288405336,5.902671708288557,0.01296117576480249,6.743238231167459e-08,49.506416791002266,finished
200,0.016378937069540647,pot_sinkhorn_log,5.802217804424559,5.909148653577521,5.902671708288557,0.006476945288963698,4.561357052484949e-09,51.98780204099603,finished
200,0.01,pot_sinkhorn_log,5.843087243308795,5.905811621295374,5.902671708288557,0.003139913006816819,3.7949532140021947e-08,54.25969845801592,finished
