n,seed,method,discrete_ot_cost,gaussian_w2_squared,error,time_seconds
50,0,lp_ipm,6.545145948203601,5.58593621829683,0.959209729906771,0.010668458067812026
50,1,lp_ipm,5.831710756809844,5.58593621829683,0.24577453851301456,0.009848584071733057
50,2,lp_ipm,5.9959664502144285,5.58593621829683,0.4100302319175988,0.009983791969716549
50,3,lp_ipm,6.539945910215696,5.58593621829683,0.9540096919188663,0.009956041001714766
50,4,lp_ipm,5.066604123573223,5.58593621829683,-0.5193320947236071,0.009433083003386855
50,5,lp_ipm,4.76204963452053,5.58593621829683,-0.8238865837763001,0.009888874948956072
50,6,lp_ipm,4.730389431493596,5.58593621829683,-0.8555467868032336,0.009825124987401068
50,7,lp_ipm,4.377311405322556,5.58593621829683,-1.208624812974274,0.009420291054993868
50,8,lp_ipm,6.624088311039344,5.58593621829683,1.0381520927425143,0.009694500011391938
50,9,lp_ipm,5.002030269545224,5.58593621829683,-0.5839059487516058,0.009623540914617479
100,0,lp_ipm,5.768879056967639,5.58593621829683,0.18294283867080896,0.04433691699523479
100,1,lp_ipm,5.823115491065321,5.58593621829683,0.2371792727684916,0.04514137504156679
100,2,lp_ipm,5.306414150548612,5.58593621829683,-0.27952206774821775,0.04298633290454745
100,3,lp_ipm,6.166750124541878,5.58593621829683,0.5808139062450479,0.04395433294121176
100,4,lp_ipm,5.1985443443796004,5.58593621829683,-0.3873918739172293,0.043327791965566576
100,5,lp_ipm,5.1456485534097505,5.58593621829683,-0.44028766488707927,0.04066254198551178
100,6,lp_ipm,6.3439576819713,5.58593621829683,0.7580214636744707,0.04428974993061274
100,7,lp_ipm,4.670501192378837,5.58593621829683,-0.9154350259179926,0.04279125004541129
100,8,lp_ipm,5.468646958893867,5.58593621829683,-0.11728925940296264,0.04305445798672736
100,9,lp_ipm,5.550029304470323,5.58593621829683,-0.03590691382650668,0.04290045809466392
200,0,lp_ipm,5.383424187172636,5.58593621829683,-0.20251203112419347,0.23305350006558
200,1,lp_ipm,5.136136978691212,5.58593621829683,-0.44979923960561763,0.2332101659849286
200,2,lp_ipm,5.781306710755377,5.58593621829683,0.19537049245854732,0.2062293749768287
200,3,lp_ipm,6.343256761855084,5.58593621829683,0.7573205435582544,0.20680787495803088
200,4,lp_ipm,6.554312703536204,5.58593621829683,0.9683764852393741,0.22230991709511727
200,5,lp_ipm,5.103784504404673,5.58593621829683,-0.48215171389215694,0.1998462500050664
200,6,lp_ipm,5.198568625564944,5.58593621829683,-0.38736759273188603,0.2082126250024885
200,7,lp_ipm,4.232780033657549,5.58593621829683,-1.353156184639281,0.22318954207003117
200,8,lp_ipm,5.862205814590908,5.58593621829683,0.2762695962940782,0.2208837919170037
200,9,lp_ipm,5.181036808255438,5.58593621829683,-0.4048994100413914,0.21047795796766877
500,0,lp_ipm,5.0338701133859605,5.58593621829683,-0.5520661049108693,1.9015147080644965
500,1,lp_ipm,4.898494399365219,5.58593621829683,-0.6874418189316112,1.9433350830804557
500,2,lp_ipm,5.860525150412714,5.58593621829683,0.27458893211588453,1.6898263749899343
500,3,lp_ipm,5.555210160088526,5.58593621829683,-0.03072605820830354,2.1197746249381453
500,4,lp_ipm,5.426920046755357,5.58593621829683,-0.15901617154147285,2.063760875025764
500,5,lp_ipm,5.707977117910994,5.58593621829683,0.12204089961416464,1.9353723339736462
500,6,lp_ipm,5.418210379064689,5.58593621829683,-0.16772583923214057,2.0710372499888763
500,7,lp_ipm,4.941218601124046,5.58593621829683,-0.644717617172784,1.8920321250334382
500,8,lp_ipm,5.335265477158363,5.58593621829683,-0.25067074113846655,1.9446916669839993
500,9,lp_ipm,5.412748725896522,5.58593621829683,-0.17318749240030762,2.114155750023201
